title,titleEn,description,descriptionEn,highlights,listingType,propertyType,price,bedrooms,bathrooms,areaSqm,landSqWah,floor,district,districtEn,btsStation,btsLine,address,latitude,longitude,npaBank,npaReferenceUrl,projectSlug,features,images
"เดอะ ลอฟท์ อโศก 2 ห้องนอน วิวเมือง","The Loft Asoke 2BR City View","คอนโดหรูใจกลางอโศก ห่าง BTS อโศก 350 เมตร ตกแต่งครบ พร้อมเข้าอยู่","Luxury Asoke condo 350m from BTS. Fully furnished and move-in ready.","Terminal 21, Emporium, ใกล้ MRT สุขุมวิท",rent,condo,45000,2,2,68,,28,วัฒนา,Watthana,อโศก,สุขุมวิท,สุขุมวิท 21 วัฒนา กรุงเทพฯ,13.7373,100.5603,,,the-loft-asoke,"สระว่ายน้ำ,ฟิตเนส,ที่จอดรถ,รปภ. 24 ชม.,ใกล้ BTS","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800&q=80,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80"
"ไอดีโอ โมบิ สุขุมวิท 1 ห้องนอน","Ideo Mobi Sukhumvit 1BR near Ekkamai","คอนโดใหม่ สไตล์โมเดิร์น ใกล้ BTS เอกมัย เดินทางสะดวก","Modern 1BR near BTS Ekkamai. Great for young professionals.",Gateway Ekkamai,rent,condo,18000,1,1,32,,15,วัฒนา,Watthana,เอกมัย,สุขุมวิท,สุขุมวิท 63 วัฒนา กรุงเทพฯ,13.7191,100.5851,,,ideo-mobi-sukhumvit,"สระว่ายน้ำ,Co-working,ใกล้ BTS,เฟอร์นิเจอร์ครบ",https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800&q=80
"ไลฟ์ สาทร-สีลม 2 ห้องนอน ขาย","Life Sathorn-Silom 2BR for Sale","คอนโดทำเลทอง ใกล้ BTS สุรศักดิ์ และ MRT ลุมพินี มูลค่าเพิ่มดี","Investment-grade 2BR near BTS Surasak and MRT Lumpini.","River view, Sathorn CBD",sale,condo,8500000,2,2,55,,22,บางรัก,Bang Rak,สุรศักดิ์,สีลม,สาทรใต้ บางรัก กรุงเทพฯ,13.7195,100.5214,,,life-sathorn-silom,"สระว่ายน้ำ,Sky Lounge,ใกล้ BTS/MRT,วิวแม่น้ำเจ้าพระยา",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=800&q=80
"เดอะ ไลน์ ราชเทวี สตูดิโอ","The Line Ratchathewi Studio","สตูดิโอขนาดกะทัดรัด ติด BTS ราชเทวี เหมาะนักศึกษาและคนทำงาน","Compact studio next to BTS Ratchathewi.",MBK Center,rent,condo,14000,1,1,28,,8,ราชเทวี,Ratchathewi,ราชเทวี,สุขุมวิท,พญาไท ราชเทวี กรุงเทพฯ,13.7519,100.5312,,,the-line-ratchathewi,"สระว่ายน้ำ,ใกล้ BTS,เครื่องใช้ไฟฟ้าครบ",https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=800&q=80
"ริทึ่ม สาทร 2 ห้องนอน เช่า","Rhythm Sathorn 2BR Rent","คอนโดสาทร วิวสวย ใกล้ BTS สุรศักดิ์ ตกแต่งสวย พร้อมเข้าอยู่","Furnished 2BR on Sathorn near BTS Surasak.",Sathorn business district,rent,condo,32000,2,2,58,,18,สาทร,Sathorn,สุรศักดิ์,สีลม,สาทร สาทร กรุงเทพฯ,13.7195,100.5214,,,rhythm-sathorn,"สระว่ายน้ำ,Sauna,ใกล้ BTS,เฟอร์นิเจอร์ครบ",https://images.unsplash.com/photo-1560185127-6ed189bf02f4?w=800&q=80
"เดอะ รูม พร้อมพงษ์ 2 ห้องนอน ขาย","The Room Phrom Phong 2BR Sale","คอนโดเกรดพรีเมียม ใกล้ BTS พร้อมพงษ์ เดินถึง EmQuartier","Premium 2BR walking distance to EmQuartier.",EmQuartier Emporium,sale,condo,11500000,2,2,62,,20,วัฒนา,Watthana,พร้อมพงษ์,สุขุมวิท,สุขุมวิท 24 วัฒนา กรุงเทพฯ,13.7305,100.5695,,,the-room-phrom-phong,"สระว่ายน้ำ,ฟิตเนส,ใกล้ BTS,ติดห้างสรรพสินค้า","https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=800&q=80,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=800&q=80"
"โนเบิล เพลินจิต 1 ห้องนอน เช่า","Noble Ploenchit 1BR Rent near Chidlom","คอนโดใจกลางเมือง ใกล้ BTS ชิดลม และ Central Chidlom","Central Bangkok 1BR near BTS Chidlom. Fully furnished.",Central Chidlom,rent,condo,34000,1,1,45,,25,ปทุมวัน,Pathum Wan,ชิดลม,สุขุมวิท,เพลินจิต ปทุมวัน กรุงเทพฯ,13.744,100.543,,,,"สระว่ายน้ำ,ฟิตเนส,ใกล้ BTS,วิวเมือง,เฟอร์นิเจอร์ครบ",https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800&q=80
"เดอะ ไลน์ อารีย์ สตูดิโอ เช่า","The Line Ari Studio Rent","สตูดิโอใกล้ BTS อารีย์ ย่านคาเฟ่และร้านอาหาร","Hip studio in Ari cafe district near BTS.",Ari cafe district,rent,condo,16000,1,1,30,,10,พญาไท,Phaya Thai,อารีย์,สุขุมวิท,พหลโยธิน อารีย์ กรุงเทพฯ,13.7797,100.5447,,,,"สระว่ายน้ำ,Co-working,ใกล้ BTS,ย่านคาเฟ่",https://images.unsplash.com/photo-1493809842364-78817add7ffb?w=800&q=80
"โนเบิล รีฟอร์ม พญาไท 1 ห้องนอน ขาย","Noble Reform Phayathai 1BR Sale","คอนโดใหม่ใกล้ BTS พญาไท ราคาต่อตร.ม.ดี เหมาะอยู่อาศัยและปล่อยเช่า","Good price per sqm near BTS Phayathai.",Airport Rail Link,sale,condo,4200000,1,1,35,,12,ราชเทวี,Ratchathewi,พญาไท,สุขุมวิท,พญาไท ราชเทวี กรุงเทพฯ,13.7569,100.5341,,,,"สระว่ายน้ำ,ฟิตเนส,ใกล้ BTS,ใกล้ Airport Rail Link",https://images.unsplash.com/photo-1484154218962-a197022b5858?w=800&q=80
"คอนโด NPA กสิกร สาทร 1 ห้องนอน","KBank NPA Condo Sathorn 1BR","ทรัพย์ NPA ธนาคารกสิกรไทย ใกล้ BTS สุรศักดิ์ ราคาพิเศษ","KBank foreclosed 1BR condo near BTS Surasak.",Bank auction,sale,npa,4200000,1,1,42,,18,สาทร,Sathorn,สุรศักดิ์,สีลม,สาทร กรุงเทพฯ,13.7194,100.5212,กสิกรไทย,https://www.kasikornbank.com/th/npa,,,"สระว่ายน้ำ,ใกล้ BTS,ขายด่วน",https://images.unsplash.com/photo-1545324418-cc403a4ad993?w=800&q=80
